Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1808570046,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,135.50,,52804,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/CVSYZNJGR,
S1808569139,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,151.80,,12374,383233,Tournament,0.25,0.75,https://www.fanduel.com/entry/BRGMFNRWR,
S1808567663,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,116,,164002,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CJLEVFQTD,
S1808567656,nfl,2019/09/29,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,118.40,,147580,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CNSKSLPDH,
S1808567547,nfl,2019/09/29,$40K Sun NFL Squib (Single Entry),$60k,118.40,,16406,47619,Tournament,1,0,https://www.fanduel.com/entry/ERIJKKZLX,
S1808362766,nfl,2019/09/26,$3K Thu NFL Hail Mary ($0.25 to Enter),$60k,82.22,,6913,14371,Tournament,0.25,0,https://www.fanduel.com/entry/CLOUYMUSQ,
S1807813698,nfl,2019/09/29,$4K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,120.54,,3899,19161,Tournament,0.25,0.50,https://www.fanduel.com/entry/ASCZQPZGF,
S1806203503,nfl,2019/09/29,$4K Sun NFL Super Hail Mary ($0.25 to Enter),$60k,119.04,,4328,19161,Tournament,0.25,0.50,https://www.fanduel.com/entry/AGJDXCDSV,
S1806201707,nfl,2019/09/29,$7K Sun NFL Super Safety (Single Entry),$60k,111.10,,1634,4166,Tournament,2,0,https://www.fanduel.com/entry/DYBVZVSEN,
S1806147103,nfl,2019/09/29,Fantasy Footballers Week 4 NFL Contest,$60k,116,,961,2380,Tournament,5,0,https://www.fanduel.com/entry/DMVWSHULQ,
S1803350394,nfl,2019/09/22,$500 Sun NFL Super Hail Mary ($0.25 to Enter),$60k,128.14,,952,2395,Tournament,0.25,0,https://www.fanduel.com/entry/ECJBFWEVH,
S1803134520,nfl,2019/09/22,$1K Sun NFL Super Safety (Single Entry),$60k,124.56,,289,595,Tournament,2,0,https://www.fanduel.com/entry/DJCOGWYEM,
S1801375313,nascar,2019/09/21,$125 Practice Squad Weekly FDP Loyalty Free Play (3 of 4),$50k,353,,7618,14877,Tournament,0,0,https://www.fanduel.com/entry/BGOKIYMRV,
S1799804420,nfl,2019/09/19,$15K Thu NFL Safety (Single Entry),$60k,57.70,,4400,8928,Tournament,2,0,https://www.fanduel.com/entry/BYFFFJLYD,
S1798882497,nfl,2019/09/22,$8K Sun NFL Super Safety (Single Entry),$60k,124.10,,2290,4761,Tournament,2,0,https://www.fanduel.com/entry/DGYYEERXL,
S1797962806,nfl,2019/09/22,Fantasy Footballers Week 3 NFL Contest,$60k,115.72,,1531,2380,Tournament,5,0,https://www.fanduel.com/entry/AFVFXNCKH,
S1795302369,nfl,2019/09/15,$1K Sun NFL Small Squib (Single Entry),$60k,76.74,,1152,1190,Tournament,1,0,https://www.fanduel.com/entry/BHCRGSISY,
S1793852930,nfl,2019/09/15,$100K Sun NFL Hail Mary (Streak Eligible),$60k,122.02,,160280,479041,Tournament,0.25,0,https://www.fanduel.com/entry/CJZLTGYRQ,
S1793846918,nfl,2019/09/15,$100K Sun NFL Hail Mary (Streak Eligible),$60k,97.02,,378452,479041,Tournament,0.25,0,https://www.fanduel.com/entry/BSIQUOIDM,
S1793475847,nfl,2019/09/15,$7K Sun NFL Super Safety (Single Entry),$60k,133.64,,667,4166,Tournament,2,4.00,https://www.fanduel.com/entry/DOZVRAXHO,
S1793313954,nfl,2019/09/15,$500 Practice Squad Monthly FDP Loyalty Free Play,$60k,100.26,,21250,28457,Tournament,0,0,https://www.fanduel.com/entry/BTYJLPFAW,
S1793310466,nfl,2019/09/15,$100K Sun NFL Hail Mary (Streak Eligible),$60k,92.82,,406184,479041,Tournament,0.25,0,https://www.fanduel.com/entry/ABAMKLWAC,
S1793306932,nfl,2019/09/15,$100K Sun NFL Hail Mary (Streak Eligible),$60k,101.92,,340296,479041,Tournament,0.25,0,https://www.fanduel.com/entry/BTYJPEKSG,
S1793302482,nfl,2019/09/15,$100K Sun NFL Hail Mary (Streak Eligible),$60k,89.40,,423995,479041,Tournament,0.25,0,https://www.fanduel.com/entry/EMNPVYLLY,
S1793298384,nfl,2019/09/15,$100K Sun NFL Hail Mary (Streak Eligible),$60k,72.30,,470228,479041,Tournament,0.25,0,https://www.fanduel.com/entry/CSNYEYHCC,
S1793296661,nfl,2019/09/15,$100K Sun NFL Hail Mary (Streak Eligible),$60k,85.40,,440959,479041,Tournament,0.25,0,https://www.fanduel.com/entry/DVKSOBKHM,
S1793292822,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,109.16,,274411,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AEFXSGDXA,
S1793292820,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,113.40,,234850,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AAMPHNYMC,
S1793292818,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,87.86,,430727,479041,Tournament,0.05,0,https://www.fanduel.com/entry/ABOKGWWHU,
S1793292814,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,91.06,,415794,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AGXLDPLMG,
S1793292813,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,103.96,,321235,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AHLIQGXKC,
S1793292811,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,121,,168980,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AINDPPVFU,
S1793292806,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,80.20,,455518,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AETVEXPUW,
S1793292802,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,82.20,,449943,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AFHSRPBSS,
S1793292800,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,118.52,,189013,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AFVQEGNQO,
S1793292797,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,115.06,,219791,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AGJNQXZOK,
S1793292770,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,107.22,,292489,479041,Tournament,0.05,0,https://www.fanduel.com/entry/ALERAZCVA,
S1793292766,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,83.06,,447573,479041,Tournament,0.05,0,https://www.fanduel.com/entry/ALSONQOSW,
S1793292761,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,124.52,,141583,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AMGMAIAQS,
S1793292759,nfl,2019/09/15,$20K Sun NFL Pooch Punt,$60k,100.60,,350923,479041,Tournament,0.05,0,https://www.fanduel.com/entry/AMUJMZMOO,
